Participant ID,Time,Requested Force,Tap Force
5166,450613216.4,Hard,0.627092
5166,450613218.8,Hard,0.493236
5166,450613221.2,Medium,0.295551
5166,450613223,Medium,0.139994
5166,450613225,Medium,0.201952
8902,450613795,Soft,0.0219738
8902,450613798.5,Medium,0.0247682
8902,450613801,Hard,0.0951889
8902,450613805.8,Medium,0.0543194
8902,450613809,Hard,0.130835
8902,450613815.6,Soft,0.170502
8902,450613818.3,Hard,0.218324
8902,450613820.8,Hard,0.147258
8902,450613823.2,Hard,0.239292
8902,450613825.9,Hard,0.18317
8902,450613828.6,Hard,0.238526
8902,450613831.3,Soft,0.0516876
8902,450613833.7,Hard,0.216508
8902,450613836.7,Medium,0.0430548
8902,450613839,Hard,0.118294
8902,450613841.3,Hard,0.122278
8902,450613844,Medium,0.0795131
8902,450613846.8,Medium,0.0515845
8902,450613849.4,Medium,0.0926014
8902,450613851.5,Soft,0.031314
8902,450613854.5,Medium,0.083271
8902,450613857,Medium,0.0900529
8902,450613859.5,Medium,0.0348658
8902,450613868,Medium,0.0547029
8902,450613870.4,Soft,0.079143
8902,450613872.4,Soft,0.0701898
8902,450613875,Soft,0.0273381
8902,450613877.2,Soft,0.0468245
8902,450613879.9,Soft,0.0458992
8902,450613882.3,Soft,0.0493775
7632,450614469.5,Soft,0.0380284
7632,450614475,Medium,0.0362603
7632,450614478,Hard,0.122043
7632,450614481.5,Medium,0.0588956
7632,450614484.3,Medium,0.0689285
7632,450614487.1,Soft,0.0259907
7632,450614489.7,Medium,0.0484947
7632,450614491.9,Medium,0.104685
7632,450614494.4,Soft,0.0292959
7632,450614496.8,Hard,0.0333594
7632,450614509.2,Soft,0.0182993
7632,450614511.2,Hard,0.211955
7632,450614513.2,Hard,0.45018
7632,450614515.9,Soft,0.0297523
7632,450614517.9,Hard,0.33059
7632,450614520,Hard,0.142053
7632,450614523.1,Medium,0.0429367
7632,450614525.5,Hard,0.415998
7632,450614529.5,Medium,0.0793985
7632,450614532,Soft,0.0130795
7632,450614534.4,Hard,0.238541
7632,450614536.9,Soft,0.0241185
7632,450614539,Soft,0.0523271
7632,450614541.2,Soft,0.0544585
7632,450614543.1,Soft,0.0741043
7632,450614545.5,Medium,0.0551897
7632,450614547.4,Medium,0.0509159
7632,450614549.5,Medium,0.0922665
7632,450614551.6,Hard,0.398737
7632,450614553.4,Hard,0.114315
1300,450615344.6,Soft,0.07236
1300,450615347.2,Medium,0.158345
1300,450615349.4,Hard,0.658425
1300,450615352.1,Hard,0.478248
1300,450615354.7,Hard,0.467467
1300,450615357.1,Hard,0.617781
1300,450615359.3,Medium,0.226696
1300,450615361.4,Soft,0.121908
1300,450615363.8,Hard,0.410764
1300,450615365.8,Medium,0.137428
1300,450615368.4,Medium,0.312058
1300,450615370.5,Hard,0.595747
1300,450615372.8,Hard,0.458299
1300,450615374.9,Hard,0.561029
1300,450615377,Medium,0.178174
1300,450615379.2,Medium,0.114704
1300,450615381,Medium,0.164305
1300,450615383.1,Hard,0.336047
1300,450615384.7,Medium,0.1476
1300,450615386.4,Soft,0.0462055
1300,450615388.3,Medium,0.146087
1300,450615389.9,Medium,0.126653
1300,450615391.3,Soft,0.050833
1300,450615392.8,Soft,0.0397081
1300,450615394.2,Soft,0.122681
1300,450615395.6,Soft,0.0818604
1300,450615397,Soft,0.0866309
1300,450615398.7,Hard,0.623439
1300,450615400.3,Soft,0.082713
1300,450615401.6,Soft,0.115198
7455,450616140.2,Soft,0.104451
7455,450616143.8,Medium,0.33191
7455,450616146.8,Hard,0.242458
7455,450616150.1,Hard,0.259154
7455,450616153.4,Soft,0.106754
7455,450616156,Soft,0.0510214
7455,450616158.5,Medium,0.204456
7455,450616161.3,Hard,0.289341
7455,450616163.9,Hard,0.452974
7455,450616166.1,Hard,0.241697
7455,450616168.8,Hard,0.274076
7455,450616171.1,Soft,0.150334
7455,450616173.6,Medium,0.225667
7455,450616176.1,Hard,0.422353
7455,450616178.2,Hard,0.394744
7455,450616180.4,Hard,0.468396
7455,450616182.4,Soft,0.121586
7455,450616184.5,Soft,0.155081
7455,450616186.1,Soft,0.0990741
7455,450616188,Hard,0.595542
7455,450616190,Soft,0.153401
7455,450616192.2,Soft,0.337128
7455,450616193.8,Soft,0.122108
7455,450616195.8,Medium,0.244325
7455,450616197.6,Medium,0.348924
7455,450616199.4,Medium,0.248094
7455,450616205.2,Medium,0.140677
7455,450616207.5,Medium,0.195431
7455,450616209.6,Medium,0.289276
7455,450616211.8,Medium,0.145823
3020,450618061.1,Soft,0.21498
3020,450618064.6,Medium,0.312922
3020,450618067.7,Hard,0.627595
3020,450618071.2,Medium,0.341838
3020,450618074,Medium,0.213272
3020,450618076.8,Medium,0.309515
3020,450618079.5,Hard,0.702049
3020,450618082.4,Medium,0.244892
3020,450618085.2,Soft,0.167138
3020,450618087.8,Hard,0.510419
3020,450618090.5,Hard,0.419863
3020,450618093.4,Medium,0.1699
3020,450618096,Soft,0.12057
3020,450618098.7,Hard,0.50488
3020,450618101.5,Medium,0.214703
3020,450618104,Soft,0.224534
3020,450618106.5,Medium,0.27715
3020,450618108.9,Soft,0.161092
3020,450618111.7,Medium,0.128516
3020,450618114.4,Medium,0.192884
3020,450618117,Hard,0.375696
3020,450618119.5,Soft,0.0926568
3020,450618122.5,Soft,0.126987
3020,450618125.1,Hard,0.472072
3020,450618127.7,Soft,0.204707
3020,450618130.2,Hard,0.283522
3020,450618132.9,Soft,0.0779736
3020,450618135.2,Soft,0.163062
3020,450618137.7,Hard,0.37671
3020,450618140.1,Hard,0.379295
92,450618669.9,Soft,0.204675
92,450618672.9,Medium,0.354062
92,450618675.5,Hard,0.640382
92,450618679.1,Hard,1.00162
92,450618681.8,Soft,0.221263
92,450618684.1,Medium,0.145546
92,450618686.6,Soft,0.0902563
92,450618689.3,Medium,0.348475
92,450618691.5,Hard,0.992604
92,450618693.8,Soft,0.188809
92,450618696,Medium,0.264869
92,450618698,Medium,0.253528
92,450618699.9,Medium,0.48994
92,450618702.2,Soft,0.141707
92,450618704.2,Hard,0.419632
92,450618706.6,Hard,0.833829
92,450618708.7,Medium,0.236001
92,450618711,Medium,0.187044
92,450618713,Medium,0.598779
92,450618715,Medium,0.670249
92,450618717.4,Hard,0.34105
92,450618719.6,Soft,0.140711
92,450618721.9,Hard,0.813414
92,450618724.1,Hard,1.10135
92,450618725.9,Hard,1.12238
92,450618727.7,Soft,0.205915
92,450618729.6,Soft,0.178698
92,450618731.4,Soft,0.0708518
92,450618733.2,Soft,0.126038
92,450618735.2,Hard,0.370941
2741,450697663.5,Soft,0.0593187
2741,450697666.5,Medium,0.362733
2741,450697668.7,Hard,1.17164
2741,450697673.8,Hard,0.929069
2741,450697676.1,Hard,0.601065
2741,450697678,Hard,0.507781
2741,450697680.2,Soft,0.285145
2741,450697682.3,Medium,0.329558
2741,450697684.6,Soft,0.0821459
2741,450697686.9,Hard,0.897773
2741,450697689.2,Medium,0.259462
2741,450697691.7,Hard,0.991546
2741,450697694,Hard,0.4855
2741,450697696,Hard,0.992505
2741,450697698.1,Soft,0.20457
2741,450697700.2,Soft,0.100788
2741,450697701.9,Soft,0.189077
2741,450697703.5,Soft,0.193473
2741,450697705.4,Medium,0.37334
2741,450697707.1,Soft,0.179334
2741,450697709.1,Medium,0.297412
2741,450697711.1,Hard,0.794247
2741,450697713.2,Soft,0.0820127
2741,450697715.1,Medium,0.356739
2741,450697716.9,Soft,0.130768
2741,450697719,Medium,0.346342
2741,450697720.7,Hard,1.29275
2741,450697722.9,Medium,0.125153
2741,450697724.7,Medium,0.276257
2741,450697726.4,Medium,0.321582
3506,450698223.5,Soft,0.138392
3506,450698226.5,Medium,0.564241
3506,450698228.5,Hard,0.671525
3506,450698232.3,Hard,0.848626
3506,450698235,Hard,0.938901
3506,450698237.3,Soft,0.157965
3506,450698239.4,Soft,0.0902787
3506,450698241.8,Medium,0.410054
3506,450698243.9,Hard,0.477359
3506,450698246.1,Medium,0.0674454
3506,450698247.9,Medium,0.262762
3506,450698249.7,Medium,0.247019
3506,450698251.6,Medium,0.466279
3506,450698253.5,Soft,0.0915057
3506,450698255.5,Soft,0.132795
3506,450698257.3,Soft,0.153321
3506,450698259.1,Hard,0.400524
3506,450698261,Medium,0.200725
3506,450698263.2,Soft,0.212134
3506,450698265,Soft,0.216771
3506,450698267,Hard,0.591542
3506,450698269.2,Soft,0.0968539
3506,450698270.9,Soft,0.13557
3506,450698272.8,Hard,0.289695
3506,450698274.7,Hard,0.537599
3506,450698276.5,Hard,0.580893
3506,450698278.3,Medium,0.421221
3506,450698280.2,Medium,0.384554
3506,450698282.1,Hard,0.414487
3506,450698285,Medium,0.309772
8710,450700976.3,Soft,0.0376335
